Date,Clicks,Impressions,CTR,Position
2026-03-10,0,0,,
2026-03-11,0,3,0%,1
2026-03-12,0,0,,
2026-03-13,0,0,,
2026-03-14,0,23,0%,28.4
2026-03-15,0,190,0%,51.8
2026-03-16,0,377,0%,61.7
2026-03-17,0,324,0%,51.9
2026-03-18,0,479,0%,49.5
2026-03-19,0,558,0%,58.1
2026-03-20,0,538,0%,55.6
2026-03-21,0,628,0%,55.8
2026-03-22,0,470,0%,60.3
2026-03-23,0,468,0%,56.6
2026-03-24,0,265,0%,48.2
2026-03-25,0,203,0%,51.1
2026-03-26,0,272,0%,53.5
2026-03-27,0,214,0%,52
2026-03-28,0,179,0%,41.9
2026-03-29,0,150,0%,43.6
2026-03-30,0,258,0%,38.2
2026-03-31,0,335,0%,34.3
2026-04-01,0,240,0%,30.4
2026-04-02,0,163,0%,37.5
2026-04-03,0,176,0%,31.8
2026-04-04,0,160,0%,31.2
2026-04-05,0,165,0%,31.4
2026-04-06,0,230,0%,35.8
2026-04-07,0,186,0%,27.4
2026-04-08,0,236,0%,23.9
2026-04-09,0,304,0%,24.6
2026-04-10,0,263,0%,22.8
2026-04-11,0,304,0%,28.9
2026-04-12,0,361,0%,32.7
2026-04-13,0,265,0%,42.7
2026-04-14,0,260,0%,40.9
2026-04-15,0,298,0%,50.3
2026-04-16,0,369,0%,42.1
2026-04-17,0,520,0%,48.1
2026-04-18,0,579,0%,40.4
2026-04-19,0,710,0%,48.3
2026-04-20,0,505,0%,42.7
2026-04-21,0,393,0%,45
