Country,Clicks,Impressions,CTR,Position
United States,0,12094,0%,45.84
Norway,0,107,0%,6.87
India,0,41,0%,93.63
Brazil,0,39,0%,16.28
Canada,0,38,0%,13.63
United Kingdom,0,32,0%,46.5
France,0,19,0%,53.74
Mexico,0,13,0%,13.92
Spain,0,11,0%,18.09
Germany,0,11,0%,18.45
Vietnam,0,11,0%,19.45
Argentina,0,10,0%,5.9
Pakistan,0,10,0%,31.1
Italy,0,10,0%,32.7
Ukraine,0,9,0%,50.78
Japan,0,6,0%,14.5
Colombia,0,6,0%,21.33
Saudi Arabia,0,6,0%,27.17
Poland,0,5,0%,8.8
Hong Kong,0,5,0%,10
Thailand,0,5,0%,20.8
Indonesia,0,5,0%,22
Malaysia,0,4,0%,3.25
Iran,0,4,0%,4.5
Russia,0,4,0%,7.5
South Africa,0,4,0%,7.75
Netherlands,0,4,0%,9.25
Taiwan,0,3,0%,4.33
China,0,3,0%,4.67
United Arab Emirates,0,3,0%,9.33
Australia,0,3,0%,9.33
Israel,0,3,0%,10
Turkey,0,3,0%,12.33
Chile,0,3,0%,13
Ecuador,0,3,0%,21.67
Portugal,0,3,0%,25
Peru,0,3,0%,25.33
Ireland,0,3,0%,33.33
Algeria,0,3,0%,33.67
Philippines,0,3,0%,43.33
Oman,0,3,0%,47
Morocco,0,3,0%,70.67
Nepal,0,2,0%,4
Singapore,0,2,0%,4.5
Syria,0,2,0%,5
Denmark,0,2,0%,6
Greece,0,2,0%,6
Azerbaijan,0,2,0%,6.5
Bangladesh,0,2,0%,6.5
Palestine,0,2,0%,6.5
Egypt,0,2,0%,7
Iraq,0,2,0%,7
Belgium,0,2,0%,7.5
Hungary,0,2,0%,7.5
Bulgaria,0,2,0%,11
Macedonia,0,2,0%,11
Paraguay,0,2,0%,13.5
Czechia,0,2,0%,47
Bahrain,0,1,0%,1
Bahamas,0,1,0%,1
Kuwait,0,1,0%,1
Romania,0,1,0%,2
Costa Rica,0,1,0%,3
Ghana,0,1,0%,4
Sweden,0,1,0%,4
Tunisia,0,1,0%,4
Faroe Islands,0,1,0%,5
Moldova,0,1,0%,5
Slovakia,0,1,0%,5
Austria,0,1,0%,6
Bosnia & Herzegovina,0,1,0%,6
Belarus,0,1,0%,7
Qatar,0,1,0%,7
Finland,0,1,0%,8
Kenya,0,1,0%,8
Slovenia,0,1,0%,8
Bermuda,0,1,0%,9
Latvia,0,1,0%,9
Venezuela,0,1,0%,9
Congo - Kinshasa,0,1,0%,10
Grenada,0,1,0%,10
Uganda,0,1,0%,10
Lithuania,0,1,0%,11
Jordan,0,1,0%,15
Angola,0,1,0%,16
Uruguay,0,1,0%,16
Nicaragua,0,1,0%,83
Tanzania,0,1,0%,90
Kosovo,0,1,0%,98
